step,time_s,drone_id,action,task_id,x,y,z,vx,vy,vz,ax,ay,az,battery_wh,temperature_c,link_up,link_type,bandwidth_kbps,pdr,latency_ms,storage_mb,pending_results,model_version,note
30,150.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,37.807,0,MESH,0.0,0.0,-1.0,0.0,0,0,no feasible released task
31,155.0,0,HOLD,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,79.667,38.997,1,MESH,268.8,0.88,169.4,0.36,2,0,no feasible released task
31,155.0,1,STORE_AND_WAIT,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,39.274,0,MESH,0.0,0.0,-1.0,0.36,2,1,result retained onboard
31,155.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,37.59,1,MESH,307.2,0.88,129.8,0.0,0,0,no feasible released task
32,160.0,0,STORE_AND_WAIT,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,79.667,38.637,0,MESH,0.0,0.0,-1.0,0.36,2,0,result retained onboard
32,160.0,1,STORE_AND_WAIT,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,38.881,0,MESH,0.0,0.0,-1.0,0.36,2,1,result retained onboard
32,160.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,37.4,1,MESH,384.0,0.88,149.6,0.0,0,0,no feasible released task
33,165.0,0,LOCAL_UPDATE,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,78.767,41.321,0,MESH,0.0,0.0,-1.0,0.36,2,1,small task head updated
33,165.0,1,HOLD,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,38.535,1,MESH,384.0,0.88,149.6,0.36,2,1,no feasible released task
33,165.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,37.232,1,MESH,268.8,0.88,169.4,0.0,0,0,no feasible released task
34,170.0,0,STORE_AND_WAIT,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,78.767,40.682,0,MESH,0.0,0.0,-1.0,0.36,2,1,result retained onboard
34,170.0,1,HOLD,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,38.231,1,MESH,268.8,0.88,169.4,0.36,2,1,no feasible released task
34,170.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,37.084,1,MESH,211.2,0.855,110.0,0.0,0,0,no feasible released task
35,175.0,0,HOLD,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,78.767,40.12,1,MESH,268.8,0.88,169.4,0.36,2,1,no feasible released task
35,175.0,1,HOLD,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,37.963,1,MESH,211.2,0.855,110.0,0.36,2,1,no feasible released task
35,175.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,36.954,1,MESH,307.2,0.88,129.8,0.0,0,0,no feasible released task
36,180.0,0,COMMUNICATE,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,78.515,39.626,1,MESH,211.2,0.855,110.0,0.18,1,1,uploaded_results=1; uploaded=0.040MB; mode=metadata_only; latency=110.0ms
36,180.0,1,COMMUNICATE,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,79.865,37.728,1,MESH,307.2,0.88,129.8,0.18,1,1,uploaded_results=1; uploaded=0.040MB; mode=metadata_only; latency=129.8ms
36,180.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,36.839,1,MESH,384.0,0.88,149.6,0.0,0,0,no feasible released task
37,185.0,0,HOLD,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,78.515,39.191,1,MESH,307.2,0.88,129.8,0.18,1,1,no feasible released task
37,185.0,1,HOLD,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,79.865,37.52,1,MESH,384.0,0.88,149.6,0.18,1,1,no feasible released task
37,185.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,36.739,0,MESH,0.0,0.0,-1.0,0.0,0,0,no feasible released task
38,190.0,0,HOLD,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,78.515,38.808,1,MESH,384.0,0.88,149.6,0.18,1,1,no feasible released task
